"id","code","name_gr","boundary"
17,Γ36,Γηροκομειο - Τζολεϊκα,"POLYGON ((21.7602043660461 38.23391837365567, 21.75891786515174 38.23540796985732, 21.757538829342348 38.23622895440817, 21.757905106510957 38.23655748219658, 21.755897795572125 38.23744891270518, 21.75539317616316 38.237777481521114, 21.756326679707737 38.23802181525711, 21.757395362347136 38.23775739115172, 21.757906045889282 38.2378366293714, 21.757408446610526 38.238287171471946, 21.75815351793919 38.2385983238107, 21.75857486074644 38.238495042746464, 21.758737714723676 38.23852827645963, 21.758932282188837 38.23851194780859, 21.759013997982215 38.23847702740163, 21.75885617250332 38.23791981228456, 21.75875245921282 38.23759382933073, 21.757752339042167 38.23750711482946, 21.758369724075074 38.23705536554503, 21.759347873837765 38.237031710894264, 21.76046934082292 38.23654518728288, 21.76135672988148 38.236409507327465, 21.761928039787957 38.23659544798977, 21.762508181281937 38.23707251067529, 21.76348345082656 38.2370001168817, 21.763329276243766 38.23617339787842, 21.7641121938362 38.23595712948728, 21.764151070610954 38.23601480647227, 21.764310772173797 38.23596091382259, 21.764258020697426 38.235860931370475, 21.76414179014681 38.23557379084079, 21.764134886052645 38.23551114905868, 21.764142639085996 38.23537344762426, 21.764126864699424 38.23525577501138, 21.764015099931203 38.235264250766896, 21.763195053476384 38.23472243818047, 21.76350192603665 38.23452328399089, 21.763949796023432 38.234219738358604, 21.76396337176157 38.234214169768684, 21.76397748956084 38.234209515298645, 21.763992051379542 38.23420580551884, 21.764006953550123 38.23420306818928, 21.764022094964428 38.234201322107815, 21.76429408714082 38.23413942861966, 21.764904875692388 38.23454725094039, 21.76548553224202 38.23443440758043, 21.76571606137507 38.234003962082944, 21.76469184278388 38.232851912664756, 21.765436968140925 38.23216621049837, 21.767483225024733 38.232589474398516, 21.768454945219883 38.230273100989464, 21.77069039499077 38.22985896684112, 21.773298868854805 38.22919555948571, 21.775530607956718 38.22721144563729, 21.775294019648758 38.226546177260914, 21.77474641243496 38.22685735020164, 21.772712783675754 38.22727052967076, 21.770333586128668 38.22775386896897, 21.769414747138267 38.22792925692697, 21.76945118180968 38.2280211469877, 21.769522665161148 38.228201432435704, 21.769623454529246 38.22845562716898, 21.76954869747132 38.228475018475386, 21.769302709524457 38.22853882732345, 21.769252249190224 38.2285519168069, 21.768950598057657 38.22863016259348, 21.76794979744685 38.228889754902426, 21.767636003740666 38.22897114534659, 21.767346373004987 38.229046268124, 21.76723985126842 38.22907838327625, 21.765487037435165 38.229535822863745, 21.765367974631264 38.22956689367504, 21.76338568362266 38.23007268747151, 21.760699887603042 38.23066436886613, 21.76058511071369 38.23320378847103, 21.7602043660461 38.23391837365567))"
18,Γ14,Γουβα,"MULTIPOLYGON (((21.7420591471257 38.24963260990528, 21.741914977645447 38.249638568981084, 21.74183427996178 38.249655580548065, 21.74181878268909 38.249658846900495, 21.741797918732676 38.24966324532254, 21.741705270831048 38.24970440461958, 21.74166331179408 38.24973491304205, 21.743047290352525 38.250981960757834, 21.742368772184786 38.25135144026864, 21.743337036419877 38.2521634415634, 21.746341209936826 38.255673971808065, 21.74643450484968 38.255866818786004, 21.746585142470455 38.25591136163745, 21.746585658338994 38.25585424026048, 21.747760039494526 38.255242946058715, 21.747659629859967 38.25509618898279, 21.749084382243346 38.25429241982951, 21.749056271964452 38.2542520231288, 21.756435223001887 38.251045354749365, 21.755630601365645 38.25059992200307, 21.752414535325325 38.24904342794566, 21.752241632113144 38.248849859082874, 21.74631312411264 38.2499522734175, 21.74663105974483 38.250187071460815, 21.745872149386216 38.24962660602977, 21.744965178287366 38.2497358196714, 21.743563783230158 38.24986535883171, 21.74219177349936 38.2496417126317, 21.7420591471257 38.24963260990528)), ((21.74441664735161 38.24971508423681, 21.744288408496264 38.24974318757533, 21.744184938871292 38.24977613463798, 21.74410005283871 38.24980507144411, 21.74407240835294 38.24981834561528, 21.744736109231347 38.249756995041174, 21.74469902469711 38.249746716085276, 21.74459474371245 38.24971632525691, 21.744509160635584 38.24970812887654, 21.74441664735161 38.24971508423681)))"
19,Γ35,Διακου Σαμακια,"MULTIPOLYGON (((21.758638001634594 38.241240056575755, 21.75995032321986 38.24123279989116, 21.760346724992594 38.24201011614421, 21.762015468541158 38.242194436904875, 21.76276782609374 38.242437982814714, 21.764297914694154 38.24249615381255, 21.764730424854548 38.24263555224142, 21.76547488682083 38.24242379451241, 21.765179986066574 38.24217056846665, 21.765476702201248 38.24219881839446, 21.765478206486954 38.242012395608484, 21.765111720110824 38.24173553101073, 21.76507255556225 38.24166918942626, 21.76503720108114 38.241625712161174, 21.76414432993802 38.240309856143384, 21.76427756758545 38.240285060908924, 21.76428312535401 38.24023431124579, 21.765209473405754 38.239730101485364, 21.76587473935379 38.23867289497695, 21.76513656948371 38.238593680528325, 21.764847138735696 38.23825835896713, 21.764743631958545 38.238256386902066, 21.764710400607125 38.23825332711515, 21.764633928140267 38.23825591411858, 21.764544108217304 38.238259055016215, 21.764048175394848 38.23835043482317, 21.76349572242326 38.23883065048747, 21.762921214569243 38.238767977178895, 21.76255649243343 38.239319870184865, 21.762872551428917 38.23939953704579, 21.763901183090674 38.24019439459057, 21.762363575241768 38.24039118833669, 21.762181459172503 38.24002410652587, 21.761153265515215 38.23931159903099, 21.76037707865318 38.23921562128068, 21.760031997065084 38.239318526687285, 21.758534551926743 38.23979937629901, 21.757818530983148 38.23969969227928, 21.75694189043698 38.23980327615715, 21.756448158257317 38.23874028154152, 21.755042186145182 38.23848490006539, 21.754905036577956 38.23824510627411, 21.75435581792095 38.238435566373724, 21.755637522344088 38.23992871538424, 21.755107456809093 38.24042781004988, 21.75598695705216 38.24069582294614, 21.757327944653692 38.24072916104544, 21.758638001634594 38.241240056575755)), ((21.76414432993802 38.240309856143384, 21.76422741137418 38.24043229854904, 21.764216449461898 38.24040563652069, 21.76414432993802 38.240309856143384)))"
20,Γ4,Δυτικη Παρ. Προαστιου,"POLYGON ((21.761740954433307 38.28226921786226, 21.760362184115227 38.28267048393099, 21.759288626291305 38.2825592976111, 21.75883998862178 38.28268812334533, 21.75943555563656 38.28316506526927, 21.759074209363074 38.28355270164008, 21.758196666747434 38.28389681501136, 21.758862614336255 38.28421719277603, 21.75991850371814 38.285022489134064, 21.761506908806425 38.28698437973708, 21.76254722965805 38.28776847587395, 21.763372523389865 38.28874724024192, 21.767796686021644 38.28678520272458, 21.76735139848691 38.28617629988814, 21.76755748887148 38.28609084599872, 21.766270593613918 38.28374326366803, 21.764476643398975 38.281313981354465, 21.76406241464321 38.281169538381526, 21.761740954433307 38.28226921786226))"
21,Γ2,Δυτικος Καστελοκαμπος,"POLYGON ((21.763137784191258 38.29088136610013, 21.765141128399495 38.291093623595955, 21.76543644942482 38.29199292337541, 21.7674022270769 38.29313492487487, 21.76845505421994 38.294980260626716, 21.76920255175039 38.29669972480722, 21.771480021091538 38.29578354372876, 21.77262590144077 38.29600130856485, 21.772637847588435 38.29712776136002, 21.770655766316008 38.29894324960278, 21.770953572973035 38.30006782376495, 21.773788538187464 38.2977960954927, 21.77378614528914 38.29757080503823, 21.77172669982536 38.293782819927884, 21.77189809806066 38.293689920700935, 21.772066807058167 38.29359847858855, 21.77281755982466 38.293012418298936, 21.77189067675506 38.291913190438464, 21.771809547895025 38.291816974185096, 21.768646886709462 38.28806593800339, 21.768620236780784 38.28795618028684, 21.7682499036178 38.28769370699395, 21.762837779420952 38.2895314773431, 21.762847213033353 38.29043264266155, 21.763137784191258 38.29088136610013))"
22,Γ32,Εβραιομνηματα,"POLYGON ((21.74547766816581 38.24016950689925, 21.744401892070055 38.241670352453426, 21.743634671157434 38.24360580901135, 21.743325513374092 38.243724054934624, 21.743622520611734 38.24512676083266, 21.744919457235408 38.24496527154373, 21.746857035291047 38.24419506194657, 21.747610852095068 38.24444355539987, 21.7477402969951 38.243986389003716, 21.747506346550594 38.24289831358601, 21.748457939658937 38.241596969928786, 21.74830142342738 38.24152601786083, 21.747073110121992 38.24073425703426, 21.74547766816581 38.24016950689925))"
23,Γ41,Εγλυκαδα,"POLYGON ((21.76075394163837 38.223367602843126, 21.7607551496678 38.223419652020596, 21.76075695614618 38.223497516176856, 21.760760049243434 38.22363082630779, 21.76076339735272 38.22377511475314, 21.760764342059474 38.22382591720283, 21.76077291151051 38.22428683587587, 21.760774185361463 38.22436202894477, 21.76077686080744 38.22452009388625, 21.76077699312163 38.22452788451447, 21.76062306051894 38.22474429488917, 21.76069839746339 38.228200340678825, 21.760699887603042 38.23066436886613, 21.76338568362266 38.23007268747151, 21.765367974631264 38.22956689367504, 21.76723985126842 38.22907838327625, 21.767346373004987 38.229046268124, 21.767636003740666 38.22897114534659, 21.76794979744685 38.228889754902426, 21.768950598057657 38.22863016259348, 21.769302709524457 38.22853882732345, 21.76954869747132 38.228475018475386, 21.769623454529246 38.22845562716898, 21.769522665161148 38.228201432435704, 21.769414747138267 38.22792925692697, 21.770333586128668 38.22775386896897, 21.77474641243496 38.22685735020164, 21.775294019648758 38.226546177260914, 21.77506151772463 38.22629590529671, 21.773619856061952 38.226078142591994, 21.772177288800084 38.225281787048516, 21.77175383149405 38.225163892276115, 21.77042868854836 38.22538771867579, 21.768933778091352 38.22547379548893, 21.771127814336545 38.22354914122295, 21.771857013927153 38.222725429859814, 21.77046693549462 38.22163774431497, 21.76915318537453 38.22252024471107, 21.766944679210354 38.2247038037757, 21.765983409968115 38.22402698448875, 21.76669843844068 38.22168862660652, 21.760785854723707 38.22312996440024, 21.760770717741206 38.22324267897121, 21.760762653147715 38.2233027321648, 21.76075394163837 38.223367602843126))"
24,Γ42,Εθνικο Σταδιο,"POLYGON ((21.76076037774754 38.22123242140727, 21.76051682066102 38.2202700557532, 21.75806715548187 38.21678394739648, 21.756229961000084 38.21412797424279, 21.756051594288987 38.21391970993009, 21.751995412033253 38.21807249834314, 21.750470976016498 38.21958819916208, 21.74690604330568 38.22009198972494, 21.746071510454183 38.22032986453696, 21.747532850656604 38.22348943808832, 21.747718314668962 38.22537861915244, 21.74776761968604 38.2260136155973, 21.74822168873824 38.2257806308853, 21.7538669899347 38.22264832876578, 21.75480916391201 38.22259388413469, 21.7561964858565 38.22299434965319, 21.756939865971415 38.223144459024866, 21.75777441078654 38.223278424727404, 21.760770717741206 38.22324267897121, 21.760797029445463 38.223046753815005, 21.76076037774754 38.22123242140727))"
25,Γ15,Εξω Αγυια,"POLYGON ((21.74498613731815 38.27702899967815, 21.745599213724788 38.281080636444955, 21.750172280836786 38.28105148505979, 21.75103437251877 38.28149658389417, 21.751663434632455 38.28132681212879, 21.7531552139212 38.27701139104096, 21.753386911377476 38.276816153085456, 21.75479048240575 38.275470414016, 21.756994976972468 38.27371020511042, 21.758492359397476 38.27263029174546, 21.75818296487157 38.27219638989468, 21.75737038763413 38.2710567842844, 21.75561165121369 38.26890744851604, 21.752814098586576 38.27025739198174, 21.749408715078857 38.27198268467745, 21.746720514363155 38.27340370571733, 21.744340202499966 38.274760509511786, 21.743518933135686 38.2734480541845, 21.742575016276078 38.27404498959291, 21.743283154416158 38.273597163324744, 21.743399320288145 38.27352369884276, 21.742672189057267 38.27433998021614, 21.743259846659676 38.275913411252645, 21.74498613731815 38.27702899967815))"
26,Γ51,Επιχειρησιακο Κεντρο,"MULTIPOLYGON (((21.725195281487675 38.22380912187503, 21.725287121397916 38.22376161411004, 21.72539965288074 38.223703403362805, 21.725188684333457 38.22295095582087, 21.724649100925117 38.222394361205325, 21.724652612891308 38.22235452845802, 21.724696426894628 38.221857665835145, 21.72598328205043 38.2217094442512, 21.725891017329896 38.22036578172224, 21.72587080631969 38.22007144217956, 21.726065446449724 38.21887679322941, 21.726120201236657 38.218834197758255, 21.72641231145278 38.21860695702408, 21.726631139637128 38.218372784689784, 21.726238881246665 38.217382925257745, 21.726168297772354 38.21716516127875, 21.725935602828578 38.21644724020823, 21.725234647476626 38.21644319025139, 21.72450483530309 38.216977386665725, 21.724398761219305 38.21716011654751, 21.724389875796245 38.21717542393947, 21.723816551778505 38.21753622664809, 21.722759458470843 38.21771121361344, 21.722385702152945 38.21777887434955, 21.721379699215586 38.21796098497268, 21.720681352000213 38.218066627253805, 21.719933561366144 38.21580433991973, 21.719797780062038 38.21539354948462, 21.719790563080792 38.2153685249268, 21.71976976646838 38.21529641439467, 21.719508754527926 38.2143913706421, 21.719554606290924 38.214146834627876, 21.71879171516162 38.212320740867625, 21.717634862710042 38.21073295780622, 21.716447340116606 38.20951687275608, 21.716812736947944 38.20920808112337, 21.716869329296806 38.2091877761021, 21.717225521199488 38.20905997499085, 21.71732626997872 38.208971376886005, 21.717441267167196 38.20887920461774, 21.71757444449741 38.208772460299976, 21.71771757661273 38.208659053995326, 21.71802672277672 38.20842910491503, 21.718062409381794 38.208402560037584, 21.718526591242565 38.20830361254195, 21.718678140074736 38.208255952257616, 21.71884239491772 38.20820429647421, 21.7194031566733 38.20797011217938, 21.719505472939378 38.20792738254898, 21.719513231178894 38.207924142543675, 21.719504134200943 38.207906868583756, 21.71943004035436 38.207766162469746, 21.71928397727656 38.207488784100285, 21.719426987610603 38.207394513185, 21.72085881400771 38.20645064085529, 21.72103110315842 38.20633706315864, 21.721091246589683 38.20628038155244, 21.72151836502496 38.205877838632404, 21.72106337163712 38.205480765641205, 21.7210569493306 38.205475161421894, 21.719904120449606 38.20446905966812, 21.71978919736302 38.20436876161123, 21.719142505354895 38.203912011512, 21.713927234776232 38.20745475385918, 21.71107859541028 38.204823935133376, 21.71021589542785 38.20579421490513, 21.710576598741415 38.20613484177554, 21.712179052191825 38.208361732153556, 21.713655592508317 38.20955527652297, 21.713838032624036 38.209814605295264, 21.715321887184746 38.21065845313764, 21.71551540798667 38.210768639683224, 21.71618040508869 38.2113431880216, 21.717431631880764 38.213510133099405, 21.717914456951046 38.21452757853337, 21.71813582764834 38.2145342526479, 21.71882625787181 38.216517473477474, 21.72017636612717 38.219731728306684, 21.720824600096492 38.22210428140333, 21.721301234647573 38.22411338413353, 21.72134715338372 38.22419529129622, 21.724048539369864 38.22400681846894, 21.725195281487675 38.22380912187503)), ((21.715480948524625 38.21074901926138, 21.715223538525166 38.210949705589336, 21.71551540798667 38.210768639683224, 21.715480948524625 38.21074901926138)))"
27,Γ13,Ζαβλανι,"POLYGON ((21.746584410344923 38.25599249539144, 21.74758404757786 38.25651951128425, 21.747985456790303 38.25734592440029, 21.748094321061146 38.25881424646089, 21.74862197501819 38.259522866774304, 21.748990791958825 38.26004020070901, 21.74961241505726 38.26091398694773, 21.750191137603505 38.26164801743899, 21.752181082372033 38.26065399358273, 21.751744260104317 38.260222058168566, 21.751603991156077 38.26008868135323, 21.751644112621168 38.26005223626209, 21.75121816232763 38.25932993461699, 21.751309421065265 38.25922054471286, 21.751354788686907 38.25916616279641, 21.75187122411767 38.258547112064825, 21.75198387210647 38.258266990799086, 21.753559765325104 38.258312058876015, 21.75355976533092 38.258312058870715, 21.75400430916507 38.2583247682941, 21.755754367591273 38.25852229265482, 21.756611111027645 38.25890106727189, 21.75748537408577 38.258148724911045, 21.756705596196717 38.257018285437155, 21.75667889367395 38.255575805595065, 21.75732986302654 38.25486467156801, 21.757476403956087 38.25504238969087, 21.757886738395992 38.2553532634669, 21.75842183312749 38.2550228652297, 21.758206688585656 38.25445645411991, 21.75905025454503 38.2540100698468, 21.758939762046932 38.25382581746426, 21.758735391095087 38.253609955933634, 21.759596666254854 38.252827399083365, 21.759648905141262 38.2528270609345, 21.75965380731177 38.252827029200944, 21.759877679329044 38.252374963545314, 21.75930158371451 38.25192807622864, 21.755895521840696 38.25127991770139, 21.749056271964452 38.2542520231288, 21.749084382243346 38.25429241982951, 21.747659629859967 38.25509618898279, 21.747760039494526 38.255242946058715, 21.746585658338994 38.25585424026048, 21.746584410344923 38.25599249539144))"
28,Γ45,Ζαρουχλεϊκα,"POLYGON ((21.73019279325918 38.22271283144904, 21.730702237809467 38.22359098257766, 21.73105708862789 38.22355064016515, 21.731098764373172 38.22428104723146, 21.73142097762575 38.22546145719806, 21.73183333390191 38.22617274500735, 21.732344730590675 38.226614752851624, 21.7331345478431 38.226850546625315, 21.733730412438046 38.22797961495014, 21.733899676231783 38.228733882457256, 21.73453254846398 38.22940173730348, 21.73532015954461 38.23094695922015, 21.7362972815675 38.23241451254785, 21.738102344018536 38.23178383066774, 21.7398642265996 38.23046184658623, 21.74128743203143 38.22936630880573, 21.740764688177652 38.22807309785091, 21.739501725086626 38.22108057079832, 21.738593873550116 38.21846378193043, 21.737157823243457 38.21883648807306, 21.735521049924586 38.21954557948538, 21.734075247407183 38.22000045251335, 21.73064504609646 38.221221585774884, 21.72992163834354 38.221282096296456, 21.729918589560654 38.22128250767625, 21.729964284654773 38.22137234854797, 21.730301201414292 38.22173362401834, 21.73019279325918 38.22271283144904))"
29,Γ55,Ιτιες - Λευκα,"MULTIPOLYGON (((21.72926162831167 38.208362391989716, 21.729012993489654 38.20793157695894, 21.72896199989605 38.20784321812139, 21.728949239506143 38.20784144472509, 21.72851891743729 38.208023834023216, 21.728453442870165 38.2080558301667, 21.72834165190604 38.20811331884074, 21.728158891853326 38.20821749012552, 21.728124257103303 38.20817687447022, 21.728013491644194 38.2081566460526, 21.72782872629509 38.2081162349046, 21.727764319182764 38.20810214820161, 21.727662238776336 38.207674995327736, 21.72765451876158 38.20764397375047, 21.727616798080632 38.207483396176364, 21.72754776749905 38.20718741620713, 21.72729439105742 38.207143361558856, 21.727296680385887 38.20696157949549, 21.727220306758195 38.206791609966366, 21.727203728565787 38.20675078959682, 21.72718282377698 38.206699312090315, 21.72711033058887 38.206520805974385, 21.72692972461328 38.206321047690054, 21.72592951574937 38.205394212049036, 21.724691025143127 38.20478468341344, 21.724413841589893 38.20441116581301, 21.723862857987864 38.204269000906116, 21.723752150421742 38.204114337662, 21.723366761980405 38.20357743708606, 21.722404598903182 38.20292361260158, 21.72191539275925 38.20345409741383, 21.72018512936276 38.2038748331223, 21.71978919736302 38.20436876161123, 21.719904120449606 38.20446905966812, 21.72106337163712 38.205480765641205, 21.72151836502496 38.205877838632404, 21.721091246589683 38.20628038155244, 21.72103110315842 38.20633706315864, 21.72085881400771 38.20645064085529, 21.719426987610603 38.207394513185, 21.71928397727656 38.207488784100285, 21.719513231178894 38.207924142543675, 21.7194031566733 38.20797011217938, 21.71884239491772 38.20820429647421, 21.718526591242565 38.20830361254195, 21.718062409381794 38.208402560037584, 21.71802672277672 38.20842910491503, 21.71771757661273 38.208659053995326, 21.71757444449741 38.208772460299976, 21.71732626997872 38.208971376886005, 21.717225521199488 38.20905997499085, 21.716869329296806 38.2091877761021, 21.716812736947944 38.20920808112337, 21.716447340116606 38.20951687275608, 21.717634862710042 38.21073295780622, 21.71879171516162 38.212320740867625, 21.719554606290924 38.214146834627876, 21.719691743233685 38.21410919970992, 21.719776322822653 38.21408598787446, 21.720063146767306 38.21400727306898, 21.720331149427963 38.21393372184341, 21.720623553466208 38.21385347408802, 21.720979649668408 38.2137557444615, 21.723235722434946 38.21313654080409, 21.72326061692849 38.2131297079313, 21.723261092842044 38.21312957209088, 21.72332988931102 38.21310971883246, 21.7234493056465 38.213075261584265, 21.723539795704884 38.213049365606835, 21.724571171100692 38.21275420573983, 21.72520040432519 38.21257950794488, 21.72485332795269 38.21078452025654, 21.725322453273243 38.21071136325157, 21.72515931429564 38.20971673823208, 21.72632214712229 38.20979077229669, 21.72777945070523 38.209412745186306, 21.728546856690983 38.20896739036262, 21.73046429415688 38.20884082477274, 21.72994058959735 38.2081028402366, 21.729842675933025 38.208140271223336, 21.72926162831167 38.208362391989716)), ((21.728013491644194 38.2081566460526, 21.7280210928728 38.20815767268304, 21.728050114961096 38.2081615911324, 21.728051037505097 38.20816171530683, 21.728013491644194 38.2081566460526)))"
30,Γ48,Ιωαννης Πρατσικας,"POLYGON ((21.73745632265582 38.21435538064782, 21.73637324216992 38.21088540780478, 21.733298073433605 38.211419369826054, 21.73045384510584 38.21179356409972, 21.730972665884444 38.21273543052967, 21.731619745055127 38.21346127098517, 21.732427991134465 38.2138240224698, 21.73305378257145 38.21493829808536, 21.73425905183837 38.21736358372076, 21.734547592582707 38.21853439663589, 21.735521049924586 38.21954557948538, 21.737157823243457 38.21883648807306, 21.738593873550116 38.21846378193043, 21.738055290329303 38.216871454884384, 21.73745632265582 38.21435538064782))"
31,Γ10,Κατω Συχαινα,"POLYGON ((21.764200009583025 38.26293850749296, 21.762247541430106 38.263777098175915, 21.761861210286217 38.26340564713278, 21.760968245336112 38.26368723967408, 21.759965426353546 38.264209328577266, 21.762367252081503 38.26522022529654, 21.763087764857907 38.26659505519067, 21.763113104230907 38.26705849853388, 21.7635215244881 38.26798343597112, 21.763710426627913 38.26841362205046, 21.76375740836694 38.268520613087574, 21.76376244088592 38.2685350299439, 21.763794323013734 38.26862637592359, 21.763907036156972 38.26899179267842, 21.76402947581396 38.269388736197044, 21.764050165839645 38.26945581163652, 21.764062573441556 38.2694960355106, 21.764109249392288 38.269647353833456, 21.764207913103352 38.26996721224371, 21.764215673788826 38.269992371527856, 21.764231650541184 38.27004416573742, 21.764315765848465 38.27031685439262, 21.764351781084677 38.27043360834229, 21.76435178114488 38.270433608537445, 21.764398466929357 38.270584952044906, 21.764402092067176 38.27059670547927, 21.764431304728262 38.27064932503717, 21.764590400235843 38.27092143232962, 21.76466618906715 38.27105105756973, 21.764743724531783 38.27118366889609, 21.764781161523672 38.27124568210363, 21.764866787284983 38.27139951213584, 21.76496810329473 38.271581527802354, 21.765062593266187 38.27175151812059, 21.765071187825775 38.27176697956924, 21.76508012358821 38.27178305574959, 21.76509813054483 38.27181545127802, 21.765303851426157 38.27206230386206, 21.76560489616402 38.27242353354896, 21.765716167389794 38.27256677633637, 21.76594203700517 38.27285239197251, 21.766061646169142 38.27262684962288, 21.766383253326914 38.273286269213585, 21.768405115587832 38.27530081001452, 21.795254770785277 38.2737700531127, 21.795816504997095 38.27286501682499, 21.798661978860544 38.2717191478761, 21.79893541380575 38.27059075170072, 21.800923446578423 38.26945066330772, 21.80119683855113 38.268322261907585, 21.800965350966134 38.26828936914712, 21.802329976798646 38.26741329099723, 21.802884134781728 38.26583235110073, 21.805165185900407 38.26536610659685, 21.80629573828197 38.26423180799227, 21.807729461480292 38.264672561458546, 21.809436450820893 38.26398487734883, 21.810301195814052 38.26465482998733, 21.80918069801999 38.266690325437025, 21.809496461584782 38.269391830252886, 21.813502219674785 38.26981473923775, 21.812908081633243 38.26779109560192, 21.81375027976583 38.26643341644394, 21.81373268485134 38.26485638990358, 21.813153652472394 38.26418448308526, 21.814855544321993 38.26304614163629, 21.815128697927808 38.26191770922662, 21.812810166996346 38.259004799578136, 21.80851678603179 38.25835853850422, 21.806531664231102 38.259724043172525, 21.805689406039413 38.26108167268841, 21.803115314424524 38.26087401143003, 21.802817183766965 38.259749515124604, 21.801378636878223 38.258858118980896, 21.799952476627123 38.25909315740657, 21.79882190274793 38.26022739608669, 21.796531129261393 38.25979235369036, 21.795109845200848 38.26047791502074, 21.793388097018504 38.25981364671716, 21.793368496439566 38.25801131959063, 21.791930097619566 38.25711980570888, 21.790762799991377 38.25487460165541, 21.791038741292738 38.25397151124128, 21.791893419041113 38.253740439136266, 21.79276277768522 38.254861107496644, 21.794198689162666 38.25552732091517, 21.794782386836626 38.25664990674938, 21.796499153066847 38.2568635740478, 21.797351384405097 38.256407171336626, 21.799649463663407 38.25751807092522, 21.800792347159604 38.257510277156385, 21.80420609493163 38.25613508681844, 21.805353929121935 38.25657782957288, 21.808782529293914 38.256554248701505, 21.810203606124084 38.25586852357842, 21.803314223328247 38.252986890785685, 21.801890660020437 38.25344724227355, 21.8004473072265 38.25210525081347, 21.798447408794694 38.25211887510862, 21.79702629136094 38.25280445870354, 21.795587952403874 38.251912988240385, 21.794445155123938 38.25192073037265, 21.792171788078754 38.25306263727549, 21.79072617842034 38.251495232833136, 21.789295251438066 38.25127955809093, 21.78900224657961 38.250605605014535, 21.786702116701722 38.249269199861295, 21.78269521194729 38.24862006868639, 21.780421759014388 38.249761749464696, 21.780465130281698 38.25381700304112, 21.78276045896181 38.25470294586688, 21.78474589772603 38.25333783884934, 21.786171998015845 38.25310298570675, 21.788469805925573 38.254214107843936, 21.78848197879116 38.25534056442785, 21.784484413971487 38.25559266454526, 21.782491660805185 38.25628189262397, 21.778774929235738 38.256081309986634, 21.777922583122123 38.25653757901195, 21.777648871154636 38.25766593183019, 21.77679410072735 38.257896901005395, 21.776217858738757 38.25745009872459, 21.774505916289424 38.25768671815618, 21.773358246539555 38.25724367190186, 21.77248676914899 38.255897565219165, 21.772762941057945 38.25499451548189, 21.774181943447314 38.254083930983946, 21.77416760164129 38.252732178153934, 21.773303327097228 38.25206195278866, 21.771303416828765 38.25207511450785, 21.769039172978882 38.25411774655517, 21.768767705476943 38.255471372824765, 21.767629585716072 38.25592943916742, 21.766479617692784 38.25526103232197, 21.766746392223276 38.25345682581476, 21.766170246458017 38.25300997283436, 21.762741777786598 38.253032307000794, 21.762769901860544 38.25340471844087, 21.76302983952055 38.25325574238338, 21.76331346077935 38.25929196965575, 21.763583322839004 38.2590667963846, 21.76416240702163 38.2593643859355, 21.763525285187523 38.25976172025046, 21.763254672936053 38.25982325768592, 21.76340512217996 38.2618150012768, 21.764200009583025 38.26293850749296), (21.786847882532147 38.262786681510676, 21.788559901220506 38.26254988135297, 21.790572299164314 38.26366287688041, 21.792574965891912 38.26387467411017, 21.792587206368612 38.26500112771831, 21.7900349713465 38.26682079753215, 21.79050376003997 38.26688562081636, 21.788904123880368 38.26795494214892, 21.786332259776263 38.267972205932054, 21.784598292889804 38.2661813553886, 21.781738317757195 38.26597513704395, 21.781474288259705 38.26800466152056, 21.782062726440266 38.26957789152434, 21.780926886378918 38.27026137832781, 21.7789072301976 38.26847234510674, 21.77634013829472 38.268939972842475, 21.775475649454318 38.26826976757984, 21.777166229667106 38.26600550871589, 21.780102238362996 38.26556448292297, 21.781735903030977 38.265749845789834, 21.78229532974193 38.26461958058761, 21.782285664586595 38.26371841542944, 21.78141877109244 38.26282296191898, 21.781697271077018 38.2621451845267, 21.785409466828547 38.26189508857134, 21.786847882532147 38.262786681510676), (21.766872942438603 38.25902960431678, 21.766956113657546 38.25838193841382, 21.768771927797484 38.25648122999473, 21.770033180558215 38.25614313285239, 21.77091385388667 38.25685906336732, 21.77311646510502 38.25836171109518, 21.774070021262443 38.258766863291484, 21.774252904593173 38.25951946806957, 21.77221156352952 38.25999262369084, 21.770428756418067 38.260295860079076, 21.76923798899165 38.260398075184845, 21.766872942438603 38.25902960431678))"
